,country,x,y
0,Algeria,-126.0,130.0
1,Bahrain,227.0,121.0
2,Comoros,197.0,-197.0
3,Djibouti,184.0,-4.0
4,Egypt,83.0,117.0
5,Iraq,170.0,171.0
6,Jordan,121.0,149.0
7,Kuwait,204.0,141.0
8,Lebanon,114.0,176.0
9,Libya,-12.0,119.0
10,Mauritania,-230.0,59.0
11,Morocco,-189.0,156.0
12,Oman,276.0,71.0
13,Palestine,109.0,158.0
14,Qatar,235.0,111.0
15,Saudi Arabia,185.0,95.0
16,Somalia,237.0,-28.0
17,Sudan,95.0,40.0
18,Syria,130.0,191.0
19,Tunisia,-74.0,177.0
20,United Arab Emirates,257.0,97.0
21,Yemen,222.0,32.0
